country,value
Poland,61.8
Czech Republic,52.4
Portugal,50.4
Croatia,49.0
Italy,48.5
Spain,46.5
Slovenia,44.1
Greece,39.6
Estonia,37.8
Austria,35.7
All countries,33.4
Switzerland,30.6
France,28.5
Luxembourg,27.1
Germany,22.6
Belgium,22.1
Sweden,9.7
Denmark,8.7
